age,lambda_final,lambda_init,delta_lambda,lambda_stage1_adult_extrapolated,z_P,note
11.4,-0.998227310180664,-1.616810917854309,0.6185836076736451,-1.3575610363813313,0.2666666666666667,lambda0/beta are single scalars shared across heads (not per-head)
11.5,-0.997201070189476,-1.616810917854309,0.6196098476648331,-1.358060208115118,0.2777777777777778,lambda0/beta are single scalars shared across heads (not per-head)
11.600000000000001,-0.9961748301982879,-1.616810917854309,0.6206360876560212,-1.3585593798489046,0.28888888888888903,lambda0/beta are single scalars shared across heads (not per-head)
11.700000000000001,-0.9951485902070999,-1.616810917854309,0.6216623276472092,-1.3590585515826912,0.3000000000000001,lambda0/beta are single scalars shared across heads (not per-head)
11.8,-0.9941223502159119,-1.616810917854309,0.6226885676383972,-1.3595577233164777,0.31111111111111117,lambda0/beta are single scalars shared across heads (not per-head)
11.9,-0.9930961102247238,-1.616810917854309,0.6237148076295853,-1.3600568950502643,0.32222222222222224,lambda0/beta are single scalars shared across heads (not per-head)
12.0,-0.9920698702335358,-1.616810917854309,0.6247410476207733,-1.3605560667840508,0.3333333333333333,lambda0/beta are single scalars shared across heads (not per-head)
12.100000000000001,-0.9910436302423477,-1.616810917854309,0.6257672876119614,-1.3610552385178374,0.3444444444444446,lambda0/beta are single scalars shared across heads (not per-head)
12.200000000000001,-0.9900173902511596,-1.616810917854309,0.6267935276031494,-1.361554410251624,0.3555555555555557,lambda0/beta are single scalars shared across heads (not per-head)
12.3,-0.9889911502599716,-1.616810917854309,0.6278197675943374,-1.3620535819854105,0.36666666666666675,lambda0/beta are single scalars shared across heads (not per-head)
12.4,-0.9879649102687835,-1.616810917854309,0.6288460075855256,-1.362552753719197,0.3777777777777778,lambda0/beta are single scalars shared across heads (not per-head)
12.5,-0.9869386702775955,-1.616810917854309,0.6298722475767136,-1.3630519254529836,0.3888888888888889,lambda0/beta are single scalars shared across heads (not per-head)
12.600000000000001,-0.9859124302864075,-1.616810917854309,0.6308984875679016,-1.3635510971867704,0.40000000000000013,lambda0/beta are single scalars shared across heads (not per-head)
12.700000000000001,-0.9848861902952194,-1.616810917854309,0.6319247275590897,-1.3640502689205567,0.4111111111111112,lambda0/beta are single scalars shared across heads (not per-head)
12.8,-0.9838599503040314,-1.616810917854309,0.6329509675502777,-1.3645494406543435,0.4222222222222223,lambda0/beta are single scalars shared across heads (not per-head)
12.9,-0.9828337103128433,-1.616810917854309,0.6339772075414658,-1.3650486123881298,0.43333333333333335,lambda0/beta are single scalars shared across heads (not per-head)
13.0,-0.9818074703216553,-1.616810917854309,0.6350034475326538,-1.3655477841219166,0.4444444444444444,lambda0/beta are single scalars shared across heads (not per-head)
13.100000000000001,-0.9807812303304672,-1.616810917854309,0.6360296875238419,-1.3660469558557031,0.4555555555555557,lambda0/beta are single scalars shared across heads (not per-head)
13.200000000000001,-0.9797549903392792,-1.616810917854309,0.6370559275150299,-1.3665461275894897,0.4666666666666668,lambda0/beta are single scalars shared across heads (not per-head)
13.3,-0.9787287503480911,-1.616810917854309,0.6380821675062179,-1.3670452993232762,0.47777777777777786,lambda0/beta are single scalars shared across heads (not per-head)
13.4,-0.977702510356903,-1.616810917854309,0.639108407497406,-1.3675444710570628,0.48888888888888893,lambda0/beta are single scalars shared across heads (not per-head)
13.5,-0.976676270365715,-1.616810917854309,0.640134647488594,-1.3680436427908493,0.5,lambda0/beta are single scalars shared across heads (not per-head)
13.600000000000001,-0.9756500303745269,-1.616810917854309,0.6411608874797822,-1.3685428145246359,0.5111111111111113,lambda0/beta are single scalars shared across heads (not per-head)
13.700000000000001,-0.9746237903833389,-1.616810917854309,0.6421871274709702,-1.3690419862584224,0.5222222222222224,lambda0/beta are single scalars shared across heads (not per-head)
13.8,-0.9735975503921509,-1.616810917854309,0.6432133674621582,-1.369541157992209,0.5333333333333334,lambda0/beta are single scalars shared across heads (not per-head)
13.9,-0.9725713104009628,-1.616810917854309,0.6442396074533463,-1.3700403297259955,0.5444444444444445,lambda0/beta are single scalars shared across heads (not per-head)
14.0,-0.9715450704097748,-1.616810917854309,0.6452658474445343,-1.370539501459782,0.5555555555555556,lambda0/beta are single scalars shared across heads (not per-head)
14.100000000000001,-0.9705188304185867,-1.616810917854309,0.6462920874357224,-1.3710386731935689,0.5666666666666669,lambda0/beta are single scalars shared across heads (not per-head)
14.200000000000001,-0.9694925904273987,-1.616810917854309,0.6473183274269104,-1.3715378449273554,0.577777777777778,lambda0/beta are single scalars shared across heads (not per-head)
14.3,-0.9684663504362107,-1.616810917854309,0.6483445674180984,-1.372037016661142,0.588888888888889,lambda0/beta are single scalars shared across heads (not per-head)
